?parent_label	?label
"BioConductor Software"	"annotationTools"
"BioConductor Software"	"aroma.light"
"BioConductor Software"	"arrayMvout"
"BioConductor Software"	"arrayQualityMetrics"
"BioConductor Software"	"bgafun"
"BioConductor Software"	"bgx"
"BioConductor Software"	"bioDist"
"BioConductor Software"	"biomaRT"
"BioConductor Software"	"cghMCR"
"BioConductor Software"	"convert"
"BioConductor Software"	"copa"
"BioConductor Software"	"cosmo"
"BioConductor Software"	"cosmoGUI"
"BioConductor Software"	"crlmm"
"BioConductor Software"	"ctc"
"BioConductor Software"	"daMA"
"BioConductor Software"	"dyebias"
"BioConductor Software"	"ecolitk"
"BioConductor Software"	"edd"
"BioConductor Software"	"exonmap"
"BioConductor Software"	"factDesign"
"BioConductor Software"	"fbat"
"BioConductor Software"	"fdrame"
"BioConductor Software"	"flagme"
"BioConductor Software"	"flowClust"
"BioConductor Software"	"flowCore"
"BioConductor Software"	"flowFlowJo"
"BioConductor Software"	"flowQ"
"BioConductor Software"	"flowStats"
"BioConductor Software"	"flowUtils"
"BioConductor Software"	"flowViz"
"BioConductor Software"	"gaga"
"BioConductor Software"	"gcrma"
"BioConductor Software"	"gene2pathway"
"BioConductor Software"	"geneRecommender"
"BioConductor Software"	"genefilter"
"BioConductor Software"	"genomeIntervals"
"BioConductor Software"	"globaltest"
"BioConductor Software"	"goTools"
"BioConductor Software"	"gpls"
"BioConductor Software"	"graph"
"BioConductor Software"	"hexbin"
"BioConductor Software"	"hypergraph"
"BioConductor Software"	"idiogram"
"BioConductor Software"	"iterativeBMAsurv"
"BioConductor Software"	"keggorth"
"BioConductor Software"	"lapmix"
"BioConductor Software"	"limma"
"BioConductor Software"	"limmaGUI"
"BioConductor Software"	"logicFS"
"BioConductor Software"	"logitT"
"BioConductor Software"	"lumi"
"BioConductor Software"	"maCorrPlot"
"BioConductor Software"	"maDB"
"BioConductor Software"	"makePlatformDesign"
"BioConductor Software"	"makecdfenv"
"BioConductor Software"	"marray"
"BioConductor Software"	"matchprobes"
"BioConductor Software"	"metaArray"
"BioConductor Software"	"metahdep"
"BioConductor Software"	"miRNApath"
"BioConductor Software"	"microRNA"
"BioConductor Software"	"multtest"
"BioConductor Software"	"nnNorm"
"BioConductor Software"	"nudge"
"BioConductor Software"	"occugene"
"BioConductor Software"	"oligo"
"BioConductor Software"	"oneChannelGUI"
"BioConductor Software"	"ontoTools"
"BioConductor Software"	"pamr"
"BioConductor Software"	"panp"
"BioConductor Software"	"parody"
"BioConductor Software"	"pcaMethods"
"BioConductor Software"	"pcot2"
"BioConductor Software"	"pdInfoBuilder"
"BioConductor Software"	"pdmclass"
"BioConductor Software"	"pgUtils"
"BioConductor Software"	"pickgene"
"BioConductor Software"	"pkgDepTools"
"BioConductor Software"	"plgem"
"BioConductor Software"	"plw"
"BioConductor Software"	"ppiStats"
"BioConductor Software"	"prada"
"BioConductor Software"	"preprocessCore"
"BioConductor Software"	"puma"
"BioConductor Software"	"qpgraph"
"BioConductor Software"	"rMAT"
"BioConductor Software"	"rama"
"BioConductor Software"	"rbsurv"
"BioConductor Software"	"rflowcyt"
"BioConductor Software"	"rsbml"
"BioConductor Software"	"rtracklayer"
"BioConductor Software"	"safe"
"BioConductor Software"	"sagenhaft"
"BioConductor Software"	"seqLogo"
"BioConductor Software"	"simpleaffy"
"BioConductor Software"	"sizepower"
"BioConductor Software"	"snapCGH"
"BioConductor Software"	"snpMatrix"
"BioConductor Software"	"splicegear"
"BioConductor Software"	"splots"
"BioConductor Software"	"spotSegmentation"
"BioConductor Software"	"sscore"
"BioConductor Software"	"ssize"
"BioConductor Software"	"tilingArray"
"BioConductor Software"	"timecourse"
"BioConductor Software"	"topGO"
"BioConductor Software"	"tspair"
"BioConductor Software"	"twilight"
"BioConductor Software"	"vbmp"
"BioConductor Software"	"weaver"
"BioConductor Software"	"webbioc"
"BioConductor Software"	"xcms"
"BioConductor Software"	"xmapbridge"
"BioConductor Software"	"xps"
"BioCyc ID"	"Compound ID (BioCyc)"
"BioCyc ID"	"Enzyme ID (BioCyc)"
"BioCyc ID"	"Pathway ID (BioCyc)"
"BioCyc ID"	"Reaction ID (BioCyc)"
"Biodiversity data format"	"ABCD format"
"Biodiversity data format"	"BIOM format"
"Biodiversity data format"	"MCPD"
"Biodiversity report"	"Alpha diversity data"
"Biodiversity report"	"Beta diversity data"
"Biodiversity report"	"Gamma diversity data"
"Biological model ID"	"Biological model accession"
"Biological model ID"	"Biological model name"
"Biological model accession"	"BioModel ID"
"Biological model accession"	"Brite hierarchy ID"
"Biological model accession"	"ModelDB ID"
"Biological pathway or network format"	"BCML"
"Biological pathway or network format"	"BioPAX"
"Biological pathway or network format"	"COMBINE OMEX"
"Biological pathway or network format"	"CellML"
"Biological pathway or network format"	"CopasiML"
"Biological pathway or network format"	"GPML"
"Biological pathway or network format"	"SBGN-ML"
"Biological pathway or network format"	"SBML"
"Biological pathway or network format"	"SBtab"
"Biological pathway or network format"	"sif"
"Biological pathway or network report format"	"CopasiML"
"Biological pathway or network report format"	"SBRML"
"Biology"	"Biochemistry"
"Biology"	"Biomarkers"
"Biology"	"Biophysics"
"Biology"	"Biotechnology"
"Biology"	"Cell biology"
"Biology"	"Chemical biology"
"Biology"	"Developmental biology"
"Biology"	"Ecology"
"Biology"	"Evolutionary biology"
"Biology"	"Freshwater biology"
"Biology"	"Genetics"
"Biology"	"Marine biology"
"Biology"	"Microbiology"
"Biology"	"Model organisms"
"Biology"	"Molecular biology"
"Biology"	"Structural biology"
"Biology"	"Systems biology"
"Biomedical science"	"Anatomy"
"Biomedical science"	"Immunology"
"Biomedical science"	"Laboratory animal science"
"Biomedical science"	"Medicine research and development"
"Biomedical science"	"Medicines research and development"
"Biomedical science"	"Neurobiology"
"Biomedical science"	"Nutritional science"
"Biomedical science"	"Parasitology"
"Biomedical science"	"Pharmacology"
"Biomedical science"	"Regnerative medicine"
"Biomedical science"	"Sample collections"
"Biosafety report"	"Biosafety classification"
"Biosafety report"	"Pathogenicity report"
"Biotechnology"	"Bioengineering"
"Biotechnology"	"Biomaterials"
"Biotechnology"	"Medical biotechnology"
"Blot ID"	"BlotBase blot ID"
"Book ID"	"ISBN"
"CATH identifier"	"CATH domain ID"
"CATH identifier"	"CATH node ID"
"CATH node ID"	"CATH node ID (family)"
"COBRA"@en	"COBRA Toolbox"@en
"COBRA"@en	"COBRApy"@en
"CRG TCoffee"@en	"CRG TCoffee 9.02.r1228"@en
"Calculation"	"Isotopic distributions calculation"
"Calculation"	"Nucleic acid property calculation"
"Calculation"	"Protein property calculation"
"Calculation"	"Retention times prediction"
"Calculation"	"Sequence composition calculation"
"Calculation"	"Statistical calculation"
"Carbohydrate accession"	"GlycoMap ID"
"Carbohydrate accession"	"GlycomeDB ID"
"Carbohydrate accession"	"KEGG Glycan ID"
"Carbohydrate accession"	"Linucs ID"
"Carbohydrate identifier"	"Carbohydrate accession"
"Carbohydrate property"	"Carbohydrate conformational map"
"Catalogue ID"	"CABRI catalogue name"
"Cell line name"	"Cell line name (assonant)"
"Cell line name"	"Cell line name (exact)"
"Cell line name"	"Cell line name (no punctuation)"
"Cell line name"	"Cell line name (truncated)"
"Cell type accession"	"Cell type ontology ID"
"Cell type accession"	"NeuroMorpho ID"
"Cell type accession"	"NeuronDB ID"
"Cell type identifier"	"Cell type accession"
"Cell type identifier"	"Cell type name"
"Chemical formula"	"SMILES string"
"Chemical formula format"	"InChI"
"Chemical formula format"	"InChIKey"
"Chemical formula format"	"SMILES"
"Chemical formula format"	"mf"
"Chemical registry number"	"Chemical registry number (Beilstein)"
"Chemical registry number"	"Chemical registry number (CAS)"
"Chemical registry number"	"Chemical registry number (Gmelin)"
"Chemical structure image"	"Chemical structure sketch"
"Chemistry"	"Analytical chemistry"
"Chemistry"	"Biochemistry"
"Chemistry"	"Computational chemistry"
"Chemistry"	"Drug discovery"
"Chemistry"	"Synthetic chemistry"
"ChipSkipper"	"ChipSkipper V0.99"
"Chromosome name"	"Chromosome name (BioCyc)"
"Classification"	"Sequence classification"
"Classification"	"Single particle alignment and classification"
"Classification"	"Structure classification"
"Clone ID"	"Clone ID (IMAGE)"
"Clone ID"	"Clone ID (RefSeq)"
"Clone ID"	"EST accession"
"Clustal"@en	"Clustal Omega"@en
"Clustal"@en	"ClustalW"@en
"Clustal"@en	"ClustalX"@en
"Clustal"@en	"EBI Clustal Omega Web Tool"@en
"Clustal"@en	"EBI Clustal W2 Web Tool"@en
"Clustal Omega"@en	"Clustal Omega 1.1"@en
"ClustalW"@en	"ClustalW 2.1"@en
"ClustalX"@en	"ClustalX 2.1"@en
"Clustered gene expression profiles"	"Heat map"
"Clustered gene expression profiles"	"Heatmap"
"Clustering"	"Document clustering"
"Clustering"	"Gene expression profile clustering"
"Clustering"	"Sequence clustering"
"Coding region prediction"	"Translation initiation site prediction"
"Codon usage analysis"	"Base position variability plotting"
"Codon usage analysis"	"Codon usage bias calculation"
"Codon usage analysis"	"Codon usage fraction calculation"
"Codon usage analysis"	"Codon usage table processing"
"Codon usage analysis"	"Genetic code prediction"
"Codon usage bias calculation"	"Codon usage bias plotting"
"Codon usage data"	"Codon usage bias"
"Codon usage data"	"Codon usage bias plot"
"Codon usage data"	"Codon usage fraction difference"
"Codon usage data"	"Codon usage table"
"Codon usage data"	"Genetic code"
"Codon usage table ID"	"Codon usage table name"
"Codon usage table processing"	"Codon usage table comparison"
"Codon usage table processing"	"Codon usage table generation"
"Commercial use only"@en	"Permission required for commercial use"@en
"Comparison"	"Article comparison"
"Comparison"	"Database comparison"
"Comparison"	"Differential gene expression analysis"
"Comparison"	"ID mapping"
"Comparison"	"Nucleic acid comparison"
"Comparison"	"Ontology comparison"
"Comparison"	"Phylogenetic tree comparison"
"Comparison"	"Protein comparison"
"Comparison"	"Sample comparison"
"Comparison"	"Secondary structure comparison"
"Comparison"	"Sequence alignment comparison"
"Comparison"	"Sequence comparison"
"Comparison"	"Sequence feature comparison"
"Comparison"	"Structure comparison"
"Comparison matrix"	"Comparison matrix (amino acid)"
"Comparison matrix"	"Comparison matrix (nucleotide)"
"Comparison matrix identifier"	"Comparison matrix name"
"Compound accession"	"BindingDB Monomer ID"
"Compound accession"	"ChEBI ID"
"Compound accession"	"ChemSpider ID"
"Compound accession"	"Chemical registry number"
"Compound accession"	"Compound ID (3DMET)"
"Compound accession"	"Compound ID (BioCyc)"
"Compound accession"	"Compound ID (ChEMBL)"
"Compound accession"	"Compound ID (ChemIDplus)"
"Compound accession"	"Compound ID (HMDB)"
"Compound accession"	"Compound ID (KEGG)"
"Compound accession"	"PubChem CID"
"Compound identifier"	"Amino acid identifier"
"Compound identifier"	"Carbohydrate identifier"
"Compound identifier"	"Compound accession"
"Compound identifier"	"Compound name"
"Compound identifier"	"Drug identifier"
"Compound identifier"	"Monosaccharide identifier"
"Compound identifier"	"Nucleotide identifier"
"Compound identifier"	"Toxin identifier"
"Compound identifier"	"UNII"
"Compound name"	"Chemical name (ChEBI)"
"Compound name"	"Chemical name (INN)"
"Compound name"	"Chemical name (IUPAC)"
"Compound name"	"Chemical name (brand)"
"Compound name"	"Chemical name (synonymous)"
"Compound name"	"Drug name"
"Compound name"	"HET group name"
"Compound name"	"Nucleotide code"
"Computational biology"	"Function analysis"
"Computational biology"	"Molecular genetics"
"Computational biology"	"Molecular interactions, pathways and networks"
"Computational biology"	"Nucleic acids"
"Computational biology"	"Phylogeny"
"Computational biology"	"Proteins"
"Computational biology"	"Sequence analysis"
"Computational biology"	"Sequence sites, features and motifs"
"Computational biology"	"Structure analysis"
"Computer science"	"Computational chemistry"
"Computer science"	"Data mining"
"Computer science"	"Data visualisation"
"Computer science"	"Machine learning"
"Computer science"	"Natural language processing"
"Computer science"	"Software engineering"
"ConsensusPathDB identifier"	"ConsensusPathDB entity ID"
"ConsensusPathDB identifier"	"ConsensusPathDB entity name"
"ConsensusPathDB identifier"	"Pathway ID (ConsensusPathDB)"
"Conversion"	"Sequence alignment conversion"
"Conversion"	"Sequence conversion"
"Conversion"	"Sequence coordinate conversion"
"Correlation"	"Gene expression correlation analysis"
"Correlation"	"Sequence alignment analysis (site correlation)"
"Creative Commons"	"CC BY 2.0"@en
"Creative Commons"	"CC BY 2.0 UK"@en
"Creative Commons"	"CC BY 2.1 JP"
"Creative Commons"	"CC BY 2.5"@en
"Creative Commons"	"CC BY 3.0"@en
"Creative Commons"	"CC BY 3.0 AU"@en
"Creative Commons"	"CC BY 3.0 US"@en
"Creative Commons"	"CC BY 4.0"@en
"Creative Commons"	"CC BY-NC 3.0"@en
"Creative Commons"	"CC BY-NC 4.0"
"Creative Commons"	"CC BY-NC-ND 2.5"@en
"Creative Commons"	"CC BY-NC-ND 2.5 CH"@en
"Creative Commons"	"CC BY-NC-ND 3.0"@en
"Creative Commons"	"CC BY-NC-ND 4.0"@en
"Creative Commons"	"CC BY-NC-SA 2.5"@en
"Creative Commons"	"CC BY-NC-SA 2.5 IN"@en
"Creative Commons"	"CC BY-NC-SA 3.0"@en
"Creative Commons"	"CC BY-NC-SA 3.0 US"@en
"Creative Commons"	"CC BY-NC-SA 4.0"@en
"Creative Commons"	"CC BY-ND 3.0"@en
"Creative Commons"	"CC BY-ND 4.0"@en
"Creative Commons"	"CC BY-SA 2.0"
"Creative Commons"	"CC BY-SA 2.1 JP"
"Creative Commons"	"CC BY-SA 3.0"@en
"Creative Commons"	"CC BY-SA 3.0 US"@en
"Creative Commons"	"CC BY-SA 4.0"@en
"Creative Commons"	"CC0 1.0"
"Cytogenetic map"	"Deletion map"
"Cytoscape"@en	"Cytoscape 2.8"@en
"DNA"	"DNA binding sites"
"DNA"	"DNA mutation"
"DNA"	"DNA packaging"
"DNA"	"DNA polymorphism"
"DNA"	"DNA replication and recombination"
"DNA"	"DNA structural variation"
"DNA base structural data"	"Base pairing probability matrix dotplot"
"DNA base structural data"	"DNA base pair stacking energies data"
"DNA base structural data"	"DNA base pair twist angle data"
"DNA base structural data"	"DNA base trimer roll angles data"
"DNA base structural data"	"Dinucleotide property"
"DNA binding sites"	"Transcription factors and regulatory sites"
"DNA mapping"	"Genetic mapping"
"DNA mapping"	"Physical mapping"
"DNA mapping"	"Sequence tag mapping"
"DNA sequence"	"DNA sequence (raw)"
"DSV"	"CSV"
"DSV"	"TSV"
"Data"	"Alignment"
"Data"	"Codon usage data"
"Data"	"Data index"
"Data"	"Data reference"
"Data"	"Database search results"
"Data"	"Ecological data"
"Data"	"Evidence"
"Data"	"Experimental measurement"
"Data"	"Gene expression data"
"Data"	"Hierarchy"
"Data"	"Identifier"
"Data"	"Image"
"Data"	"Keyword"
"Data"	"Map data"
"Data"	"Mathematical model"
"Data"	"Matrix"
"Data"	"Microarray data"
"Data"	"Molecular property"
"Data"	"Ontology data"
"Data"	"Pathway or network"
"Data"	"Phylogenetic data"
"Data"	"Plot"
"Data"	"Query script"
"Data"	"Reaction data"
"Data"	"Regular expression"
"Data"	"Report"
"Data"	"Score"
"Data"	"Sequence"
"Data"	"Sequence attribute"
"Data"	"Sequence features"
"Data"	"Sequence features metadata"
"Data"	"Sequence set"
"Data"	"Sequence signature data"
"Data"	"Sequence variations"
"Data"	"Spectrum"
"Data"	"Structural profile"
"Data"	"Structure"
"Data"	"Taxonomy"
"Data"	"Text data"
"Data"	"Training material"
"Data File Standard for Flow Cytometry"@en	"FCS3.0"@en
"Data handling"	"Aggregation"
"Data handling"	"Editing"
"Data handling"	"Filtering"
"Data handling"	"Format detection"
"Data handling"	"Formatting"
"Data handling"	"Loading"
"Data handling"	"Splitting"
"Data index"	"Genome index"
"Data index format"	"BAI"
"Data index format"	"Tabix index file format"
"Data index format"	"ebwt"
"Data index format"	"ebwtl"
"Data management"	"Data acquisition"
"Data management"	"Data architecture, analysis and design"
"Data management"	"Data governance"
"Data management"	"Data identity and mapping"
"Data management"	"Data integration and warehousing"
"Data management"	"Data quality management"
"Data management"	"Data security"
"Data management"	"Data submission, annotation and curation"
"Data management"	"Database management"
"Data management"	"Workflows"
"Data reference"	"Annotated URI"
"Data reference"	"Database cross-mapping"
"Data reference"	"ID list"
"Data reference"	"Ontology mapping"
"Data resource definition ID"	"Data resource definition accession"
"Data resource definition ID"	"Data resource definition name"
"Data resource definition accession"	"MIRIAM URI"
"Data resource definition accession"	"MIRIAM identifier"
"Data resource definition name"	"MIRIAM data type name"
"Data retrieval"	"Metadata retrieval"
"Database ID"	"Database name"
"Database hits (sequence) format"	"BLAST results"
