Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	Parent	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
36	C	bibo:	AcademicArticle	Academic Article	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Written by scholars for other scholars, typically published in an academic journal with an abstract and bibliography"		A specific academic journal article					
37	C	bibo:	Article	Article	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a periodical or book"		Short Definition modified from the bibo ontology.|A specific journal article					
38	C	bibo:	AudioDocument	Audio Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Recorded audio in any format		phonograph record; tape; CD; DVD; DAT					
39	C	bibo:	AudioVisualDocument	Audio-Visual Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in any format		film; video; Blu-ray					
40	C	bibo:	Bill	Bill	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Draft legislation presented for discussion to a legal body		Short Definition from the bibo ontology					
41	C	bibo:	Book	Book	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A written or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers"		Short Definition copied from bibo ontology					
42	C	bibo:	BookSection	Book Section	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A section of a book		Short Definition from the bibo ontology 					
43	C	bibo:	Brief	Brief	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A document stating the facts and points of law of a client's case							
44	C	bibo:	Chapter	Chapter	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A main division of a book							
45	C	bibo:	Code	Code	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A work consisting of texts of rules and regulations related to statutes issued by executive or administrative agencies		"Short Definition from OCLC Input Standards, EntW|Code of Federal Regulations"					
46	C	bibo:	CollectedDocument	Collected Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Work consisting of collections of previously published works		Short Definition is the Medical Subject Heading (MeSH) definition					
47	C	bibo:	Collection	Collection	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Collection of information resources that have a unified identity		"Collection of information resources that have a unified identity. Archives, museums and libraries often acquire collections on specific subjects and from distinguished authors or researchers. Also includes collections of resources bundled into a license.|Hill Ornithology Collection; Wiley Interscience Online Books Biochemisty Collection"					
48	C	bibo:	Conference	Conference	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A meeting for consultation or discussion.		2010 International Congress on Autoimmunity; American Libraries Association 2009|core:Seminar and bibo:Conference are very similar.					
49	C	bibo:	CourtReporter	Court Reporter	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Collection of legal cases		Supreme Court Reporter					
50	C	bibo:	Document	Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A collection of information content entities intended to be understood together as a whole|A bounded physical representation of a body of information designed with the capacity (and usually intent) to communicate		"Short Definition from the bibo ontology|A journal article, patent application, laboratory notebook, or a book"	http://purl.obolibrary.org/obo/IAO_0000120	document	PERSON: Lawrence Hunter		
51	C	bibo:	DocumentPart	Document Part	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A distinct part of a larger document or collected document		Short Definition from the bibo ontology 					
52	C	bibo:	DocumentStatus	Document Status	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	The status of a document with respect to its publication.		"submitted; accepted; in-press; published; invited; refereed.|The status of a document with respect to its publication. The statuses are represented as individuals of this class. Use the \show all individuals of this class\"" button on the class control panel to see the currently defined statuses."""					
53	C	bibo:	EditedBook	Edited Book	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An edited collection of stand-alone articles published as a book		Best American Science Writing 2009					
54	C	bibo:	Excerpt	Excerpt	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A passage selected from a larger work		Short Definition from the bibo ontology					
55	C	bibo:	Film	Film	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in film format							
56	C	bibo:	Hearing	Hearing	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An instance or a session in which testimony and arguments are presented, esp. before an official, as a judge in a lawsuit."		Definiton from Bibo here: http://bibotools.googlecode.com/svn/bibo-ontology/trunk/doc/index.html					
57	C	bibo:	Image	Image	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A visual representation such as a photograph or graph		photograph; diagram|\n					
58	C	bibo:	Interview	Interview	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A conversation between two or more people where questions are asked by the interviewer to obtain information from the interviewee.		radio or newspaper interview					
59	C	bibo:	Issue	Issue	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"something that is printed or published and distributed, esp. a given number of a periodical"		Short Definition from the bibo ontology					
60	C	bibo:	Journal	Journal	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Contains original scholarly research or review articles by experts in the field		"Journal of Information Science; IEEE Intelligent System; Scientometrics|Articles usually contain abstracts and bibliographies. Includes peer-reviewed, non-peer-reviewed, and open access journals. Journals are usually indexed in the major academic databases such as PubMed and Web of Science."					
61	C	bibo:	LegalCaseDocument	Legal Case Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Official court  papers for a case							
62	C	bibo:	LegalDecision	Decision	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"The written determination of a case, motion or claim by a court or tribunal"							
63	C	bibo:	LegalDocument	Legal Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	a document that states some contractual relationship or grants some right							
64	C	bibo:	Legislation	Legislation	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Enactments of legislative bodies, published in either statute or code form"		"From OCLC Input Standards, EntW"					
65	C	bibo:	Letter	Letter	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A written or printed communication addressed to a person or organization and usually transmitted by mail		A written or printed communication addressed to a person or organization and usually transmitted by mail					
66	C	bibo:	Magazine	Magazine	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Contains articles of current events or general interest, geared to the reading public as being informative or recreational"		New Yorker|Abstracts and bibliographies are usually not included in magazines. 					
67	C	bibo:	Manual	Manual	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A book of instructions or guide to a specific topic		SDB User Manual					
68	C	bibo:	Manuscript	manuscript	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Works prepared by hand including handwritten or typescript drafts of pre-publication papers or works not otherwise reproduced in multiple copies		Short Definition is the Medical Subject Heading (MeSH) definition					
69	C	bibo:	Map	Map	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A graphical depiction of geographic features, scientific discipline, scientific data analytical results"		"The Short Definition is how the bibo ontology defines Map. It has been extended to include more broader concept of map which includes science maps, social network maps."					
70	C	bibo:	Newspaper	Newspaper	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Contains news articles, opinions, features, advertising, and is usually issued daily or weekly"		USA Today					
71	C	bibo:	Note	Note	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Notes or annotations about a resource		Short Definition from bibo ontology					
72	C	bibo:	Patent	Patent	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"(from BIBO) A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years"		"A patent is an exclusive right granted for an invention, which is a product or a process that provides, in general, a new way of doing something, or offers a new technical solution to a problem.  In order to be patentable, the invention must fulfill certain conditions. (http://www.wipo.int/patentscope/en/)"					
73	C	bibo:	Performance	Performance	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Something carried out, acted or rendered."							
74	C	bibo:	Periodical	Periodical	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.								
75	C	bibo:	PersonalCommunicationDocument	Personal Communication Document	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A personal communication manifested in some document.		A personal communication manifested in some document.					
76	C	bibo:	Proceedings	Proceedings	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A compilation of documents published from an event, such as a conference"		Short Definition copied from bibo ontology					
77	C	bibo:	Quote	Quote	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An excerpted collection of words		Short Definition from the bibo ontology					
78	C	bibo:	ReferenceSource	Reference Source	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A document that presents authoritative reference information, such as a dictionary or encylopedia"		Short Definition from the bibo ontology					
79	C	bibo:	Report	Report	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc."		"Medical Subject Heading (MeSH) definition of Technical Report: Work consisting of a formal report giving details of the investigation and results of a medical or other scientific problem. When issued by a government agency or comparable official body, its contents may be classified, unclassified, or declassified with regard to security clearance. This publication type may also cover a scientific paper or article that records the current state or current position of scientific research and development. If so labeled by the editor or publisher, this publication type may be properly used for journal articles."					
80	C	bibo:	Series	Series	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A thematic collection of documents, usually books, issued at regular or irregular intervals"		Methods in Molecular Biology					
81	C	bibo:	Slide	Slide	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A slide in a slideshow		Short Definition from the bibo ontology					
82	C	bibo:	Slideshow	Slideshow	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A presentation of a series of slides, usually presented in front of an audience with written text and images"		Short Definition from the bibo ontology					
83	C	bibo:	Standard	Standard	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A specification giving a precise statement of a process or a service requirement, often sanctioned by a nation or industry"		"Short Definition from OCLC Input Standards, EntW"					
84	C	bibo:	Statute	Statute	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A bill enacted into law		Short Definition from bibo ontology					
85	C	bibo:	Thesis	Thesis	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Works created to satisfy the requirements for an academic certification or degree; also called dissertation		"Short Definition from OCLC Input Standards, EntW"					
86	C	bibo:	ThesisDegree	Thesis Degree	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	The academic degree of a Thesis.		"Doctor of Philosophy (Ph.D.)|Different from general academic degree, thesis degree is achieved through one's completed thesis. Thesis is a document submitted in support of candidature for a degree or professional qualification presenting the author's research and findings(http://en.wikipedia.org/wiki/Thesis_or_dissertation)."					
87	C	bibo:	Webpage	Webpage	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	One section of a website that appears at a unique address within the parent site's address or URL on the World Wide Web 							
88	C	bibo:	Website	Website	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A group of webpages available within a specific parent address or URL on the World Wide Web		Facebook; VIVOweb.org; Flickr					
89	C	bibo:	Workshop	Workshop	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Bibo Definition: A seminar, discussion group, or the like, that emphasizes exchange of ideas and the demonstration and application of techniques, skills, etc."							
90	C	c4o:	BibliographicInformationSource	Bibliographic Information Source	VIVO	R	yes	D	Should be in VIVO with reference to c4o	"A source of information about bibliographic citations, such as Google Scholar, Web of Science or Scopus."							
93	C	fabio:	ClinicalGuideline	Clinical Guideline	VIVO	R	yes	D	See BIBO comments	"A recommendation on the appropriate treatment and care of people with a specific disease or condition, based on the best available evidence, designed to help healthcare professionals in their work."							
94	C	fabio:	Comment	Comment	VIVO	R	yes	D	See BIBO comments	"A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by a special syntactic symbol that ensures they are ignored during execution of the program.\n\nhas super-classes|A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by"							
95	C	fabio:	Erratum	Erratum	VIVO	R	yes	D	See BIBO comments	A formal correction to an error introduced by the publisher into a previously published document.							
178	C	obo:	ERO_0001245	Licensing	VIVO	R	yes	D	Licensing Process	"A technique that authorizes a use (such as copying software or using a (patented) invention) to a licensee, sparing the licensee from a claim of infringement brought by the licensor."		Licensing of a new technology.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		
189	C	obo:	ERO_0001716	Database	VIVO	R	yes	D	Not in IAO?	"A database is an organized collection of data, today typically in digital form."			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Carlo Torniai		
281	C	vcard:	Photo	Photo	VIVO	R	yes	D	VIVO will have a way to represent images								http://en.wikipedia.org/wiki/Clinical_trial
290	C	vcard:	Telephone	Telephone	VIVO	R	yes	D	VIVO will have a way to represent phone numbers								http://en.wikipedia.org/wiki/Computer_software
295	C	vcard:	Title	Title	VIVO	R	yes	D	VIVO will have a way to represent titles								PERSON: Nicole Vasilevsky
298	C	vcard:	URL	URL	VIVO	R	yes	D	VIVO will have a way to represent items on the web and their URLs								PERSON: Matthew Brush
302	C	vivo:	Abstract	Abstract	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An abstract that is published as a standalone document or in a journal of abstracts							PERSON: Nicole Vasilevsky
319	C	vivo:	Blog	Blog	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Regularly updated online journal or newsletter by one or more writers, called bloggers, containing articles and commentary of interest to the blogger"		Library of Congress Blog|Blog is short for weblog. 					
320	C	vivo:	BlogPosting	Blog Posting	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An online article or commentary appearing on a blog		A specific blog posting					
324	C	vivo:	Catalog	Catalog	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A list of items in a collection; an ordered compilation of item descriptions and sufficient information to afford access to them		Short Definition is the Medical Subject Heading (MeSH) definition |NLM Catalog					
334	C	vivo:	ConferencePaper	Conference Paper	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A paper presented at a conference; optionally collected into a Proceedings or a special Journal issue							
335	C	vivo:	ConferencePoster	Conference Poster	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"The digital file (or physical equivalent), if available after the conference, vs. the act of attending/presenting: use ConferencePresentation for information about date/time/location/name of the event where the poster was presented"							
353	C	vivo:	EditorialArticle	Editorial Article	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An article of opinion, typically published in a newspaper. For academics, most commonly Op Ed pieces"							
359	C	vivo:	EmeritusProfessor	Professor Emeritus	VIVO	R	yes	D		"A retired professor who has retained their rank, title and privileges."							
381	C	vivo:	Internship	Internship	VIVO	R	yes	D	A position type?	Typically a student or a recent graduate undergoing supervised practical training.							
383	C	vivo:	InvitedTalk	Invited Talk	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.								
384	C	vivo:	IssuedCredential	Issued Credential	VIVO	R	yes	D	Credential								
387	C	vivo:	Librarian	Librarian	VIVO	R	yes	D		"A person working in a position of librarian or information professional, or academic or technical expert in support of providing information services or materials."							
388	C	vivo:	LibrarianPosition	Librarian Position	VIVO	R	yes	D		"A position held  by library and information science professionals, or academic or technical experts, in support of providing information services or materials"		Librarian; Library Systems Analyst; Music Bibliographer|It is the common position in libraries.					
393	C	vivo:	MedicalResidency	Medical Residency	VIVO	R	yes	D	A position type	Residency is a stage of graduate medical training. 							
394	C	vivo:	Meeting	Meeting	VIVO	R	yes	D	An event type	"A gathering of people for a defined purpose, not necessarily public or announced"							
395	C	vivo:	MemberRole	Member Role	VIVO	R	yes	D	See Early Thoughts on Roles and Relationships	A role of being a member in a Process or an Organization							
397	C	vivo:	Newsletter	Newsletter	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Usually issued periodically, prepared by or for a group or institution to present information to a specific audience, often also made available to the press and public"		The Ornithological Newsletter					
398	C	vivo:	NewsRelease	News Release	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A short written piece focused on an event or announcement of note, having a defined publication time and of less enduring interest than a news feature."							
426	C	vivo:	Review	Review	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An article reviewing one or more other information resources (a book, one or more other articles, movies, etc)"							
430	C	vivo:	Score	Score	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Written musical composition for voice or instruments or both							
431	C	vivo:	Screenplay	Screenplay	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Written script for a film production, including dialogue and descriptions of gestures, actions, shooting directions"							
434	C	vivo:	Speech	Speech	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Text of a speech written in preparation for delivery of the speech.							
445	C	vivo:	Video	Video	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in video format							
446	C	vivo:	WorkingPaper	Working Paper	VIVO	R	yes	D	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A document created as a basis for discussion or a very early draft of a formal paper							
454	D	bibo:	Asin	Amazon Standard Identification Number (ASIN)	VIVO	C	yes	I	Becomes a Class			Amazon standard identification number. Source: http://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number.|020530902X					
456	D	bibo:	coden	coden	VIVO	C	yes	I	Becomes a class			CODEN became particularly common in the scientific community as a citation system for periodicals cited in technical- as well in chemistry-related publications and as a search tool in many bibliographic catalogues.\nDefinition and description came from Wikipedia here: http://en.wikipedia.org/wiki/CODEN 					
457	D	bibo:	doi	Digital Object Identifier (DOI)	VIVO	C	yes	I	Becomes a class								
458	D	bibo:	eanucc13	EAN International-Uniform Code Council (EAN-UCC) 13	VIVO	C	yes	I	Becomes a class			Definition source: http://en.wikipedia.org/wiki/European_Article_Numbering-Uniform_Code_Council.\nThe Uniform Code Council (UCC) was the Numbering Organization in the USA to administer and manage the EAN.UCC System. In 2005 the UCC changed its name to GS1 US.					
460	D	bibo:	eissn	Electronic International Standard Serial Number (EISSN)	VIVO	C	yes	I	Becomes a class			eissn stands for Electronic International Standard Serial Number.  source: http://www.definition-of.com/EISSN					
461	D	bibo:	gtin14	Global Trade Item Number (GTIN-14)	VIVO	C	yes	I	Becomes a class			http://en.wikipedia.org/wiki/Global_Trade_Item_Number.					
463	D	bibo:	isbn10	International Standard Book Number (ISBN) 10	VIVO	C	yes	I	Becomes a class			http://en.wikipedia.org/wiki/Isbn.					
464	D	bibo:	isbn13	International Standard Book Number (ISBN) 13	VIVO	C	yes	I	Becomes a class			source: http://en.wikipedia.org/wiki/Isbn.					
465	D	bibo:	issn	International Standard Serial Number (ISSN)	VIVO	C	yes	I	Becomes a class			source: http://en.wikipedia.org/wiki/Issn					
466	D	bibo:	issue	issue	VIVO	C	yes	I	Becomes a class.			"Bibo has the domain of bibo:issue as the class Issue, but an example on their site uses it with Article, referring to the issue number \4\"""""					
467	D	bibo:	lccn	Library of Congress Control Number (LCCN)	VIVO	C	yes	I	Becomes a class			Source: http://en.wikipedia.org/wiki/Library_of_Congress_Control_Number.					
468	D	bibo:	locator	locator	VIVO	C	yes	I	Becomes a class			definition from: http://bibotools.googlecode.com/svn/bibo-ontology/trunk/doc/index.html					
469	D	bibo:	number	number	VIVO	C	yes	I	Issue number			Definition from here: http://bibotools.googlecode.com/svn/bibo-ontology/trunk/doc/index.html					
471	D	bibo:	oclcnum	Online Computer Library Center (OCLC) number	VIVO	C	yes	I				http://info-uri.info/registry/OAIHandler?verb=GetRecord&metadataPrefix=reg&identifier=info:oclcnum/. \n\n\nbibo has the domain of this property set to the union of Collection and Document.					
474	D	bibo:	pmid	PubMed ID	VIVO	C	yes	I	Becomes a class			"The PubMed ID (PMID) identifies a citation record (rather than full-text) in the PubMed database. It is not evidence of compliance with the NIH Public Access Policy, because it does not identify a full-text submission of any kind."					
478	D	bibo:	sici	Serial Item and Contribution Identifier (SICI)	VIVO	C	yes	I	Becomes a class			A sub property of identifier (http://en.wikipedia.org/wiki/SICI).					
479	D	bibo:	upc	Universal Product Code (UPC)	VIVO	C	yes	I	Becomes a class			source for public description: http://en.wikipedia.org/wiki/Universal_Product_Code.					
481	D	bibo:	volume	volume	VIVO	C	yes	I	Becomes a class.  A volume is a thing.								
576	D	obo:	ARG_0000197	health care provider ID	VIVO	C	yes	I	Becomes a class.								
626	D	vcard:	uid	uid	VIVO	C	yes	I									
629	D	vivo:	cclCode	published US Classification Class/subclass (CCL) code	VIVO	C	yes	I									
636	D	vivo:	eRACommonsId	eRA Commons ID	VIVO	C	yes	I									
643	D	vivo:	iclCode	International Classification (ICL) code	VIVO	C	yes	I				The International classification(s) to which the published application has been assigned.\n					
644	D	vivo:	identifier	identifier	VIVO	C	yes	I	Becomes a class								
646	D	vivo:	licenseNumber	license number	VIVO	C	yes	I									
650	D	vivo:	nihmsid	NIH Manuscript Submission System ID	VIVO	C	yes	I									
653	D	vivo:	patentNumber	patent number	VIVO	C	yes	I				source of definition: http://www.uspto.gov/main/glossary/#p . The following site has patent number formats: http://www.uspto.gov/patents/ebc/kindcodesum.jsp .					
655	D	vivo:	pmcid	PubMed Central ID	VIVO	C	yes	I				"   A PMCID is a unique PubMed Central reference number, which is assigned to each full-text record made available A PMCID is a unique PubMed Central reference number, which is assigned to each full-text record made available in PubMed Central. The PMCID is issued shortly after the PI or author approves the PubMed Central formatted web version of the submission. "					
659	D	vivo:	researcherId	ISI Researcher ID	VIVO	C	yes	I				RearcherID is a Thomson Reuters project where researchers have a place to manage and share their professional information. It will allow them to solve author identity issues while simultaneously adding dynamic citation metrics and collaboration networks to your personal profile.\nDefinition source: http://isiwebofknowledge.com/researcherid/					
661	D	vivo:	scopusId	Scopus ID	VIVO	C	yes	I				Home page for Scopus: http://www.scopus.com/home.url					
663	D	vivo:	sponsorAwardId	sponsor award ID	VIVO	C	yes	I				"Has a domain of Grant. There is not a strong reason have this be publically visible, since most users would care more about the name of the sponsoring agency than its identifier, but it does no harm to be public.\n\n\nSee also core:localAwardId.\n"					
670	D	vivosr:	nctId	National Clinical Trials (NCT) number	VIVO	C	yes	I	Becomes a class	"ClinicalTrials.gov is an ICMJE-acceptable public registry, offering up-to-date information for locating clinical trials for a wide range of diseases and conditions. The U.S. National Institutes of Health (NIH), through its National Library of Medicine (NLM), developed this site in collaboration with the Food and Drug Administration (FDA), as a result of the FDA Modernization Act, which was passed into law in November 1997.   This property should be publically visible since it is one of the principal identifiers in a national registry of clinical trials "							
256	C	vcard:	Identification	Identification	VIVO	R	yes	I	See Early Thoughts on Identifiers								
303	C	vivo:	AcademicDegree	Academic Degree	ADO	R	yes	O	 	"An academic degree at any level, both as reported by individuals for employment and as offered by academic degree programs."		This list may have multiple abbreviations for some degrees.|B.A. Bachelor of Arts					http://www.thefreedictionary.com/student
317	C	vivo:	AwardedDegree	Awarded Degree	ADO	R	yes	O	See Early Thoughts on Roles and Relationships	The awarding of a degree by an agent to another agent. It is mostly for academic degrees.							
318	C	vivo:	AwardReceipt	Award or Honor Receipt	ADO	R	yes	O	See Early Thoughts on Roles and Relationships	"The bestowal of an award, honor, or distinction to a person or person's at a particular time.  "		The award bestowed may be represented with the Award class.					
360	C	vivo:	Equipment	Equipment	ERO	R	yes	O	Find in ERO	"A physical object provided for specific purpose, task or occupation. "		"server; Bruker Vector-33 FT-IR|A network server is one example. Medical schools and research laboratories can list professional equipment, such as microscopes."					
252	C	vcard:	Geo	Geo	GAZ	R	yes	O	Use GAZ								
326	C	vivo:	Certificate	Certificate	IAO	R	yes	O	Find in IAO	"A document confirming certain characteristics of a person or organization, usually provided by some form of external review, education, or assessment."		"A document confirming certain characteristics of a person or organization, usually provided by some form of external review, education, or assessment."					
327	C	vivo:	Certification	Certification	IAO	R	yes	O	Certification Process	An issued certificate		see also core:Certificate					
339	C	vivo:	Contract	Contract	IAO	R	yes	O		An agreement involving specific deliverables and payment							
