Role	Source	Include	Comment
Funder	ERO	Y	Renamed and in VIVO ontology
Funding acquisition 	CRO	M	"Unclear -- as in grant writer, development officer?"
Geographic information specialist	MARC	M	More like a position title than a role
Graphic design 	CRO	Y	
Guideline development 	CRO	N	Author of guideline
Hardware systems 	CRO	N	Unclear
Honoree	MARC	Y	VIVO has called this Awardee.  They are not different
Host	MARC	Y	As in talk show host
Host institution	MARC	N	Not a role
Illuminator	MARC	Y	
Illustrator	MARC	Y	
Information technology systems 	CRO	M	Unclear.  What are they doing?
infrastructure 	CRO	M	Unclear.  What are they doing?
Inscriber	MARC	Y	
Instructor	Proposed	Y	How is this different from Teacher?
Instrumentalist	MARC	Y	
Intellectual property advisor 	CRO	N	Advisor of Intellectual property
Interviewee	MARC	Y	
Interviewer	MARC	Y	
Inventor	MARC	Y	
Investigation 	CRO	M	What is this?
Issuing body	MARC	M	Possibly Issuer
IT hardware systems design and implementation 	CRO	M	How is this different from Hardware systems?
Judge	MARC	L	
Jurisdiction governed	MARC	N	Not a role
Laboratory	MARC	N	Not a role
Laboratory director	MARC	N	Director of Laboratory
Landscape architect	MARC	Y	
lay synthesis of research output 	CRO	N	Author of something
Lead	MARC	Y	
Leader	VIVO	N	Should be more specific
Lender	MARC	Y	
Libelant	MARC	L	
Libelant-appellant	MARC	L	
Libelant-appellee	MARC	L	
Libelee	MARC	L	
Libelee-appellant	MARC	L	
Libelee-appellee	MARC	L	
Librettist	MARC	Y	
Licensee	MARC	Y	
Licensor	MARC	Y	
Lighting designer	MARC	Y	
Lithographer	MARC	Y	
Lyricist	MARC	Y	
Maintainer	Proposed	Y	
Manager	Proposed	Y	How is this different from other leadership roles?
Manufacture place	MARC	Y	
Manufacturer	MARC	Y	
Marbler	MARC	Y	
Marketing 	CRO	M	Not in domain
Markup editor	MARC	Y	
Medium	MARC	N	Not in domain
Member	VIVO	Y	Rename
Metadata application 	CRO	N	Unclear
Metadata contact	MARC	N	Contact of
Metal-engraver	MARC	Y	
Methodology 	CRO	N	Unclear
Minute taker	MARC	Y	
Moderator	MARC	Y	
Monitor	MARC	Y	
Music copyist	MARC	Y	
Musical director	MARC	Y	
Musician	MARC	Y	
Narrator	MARC	Y	
Networking facilitation 	CRO	M	Unclear
Onscreen presenter	MARC	Y	
Opponent	MARC	N	Opponent of a dissertation?  What is this?
Organizer	VIVO	Y	Rename
Original draft preparation 	CRO	M	
Originator	MARC	Y	
Other	MARC	N	
Outreach materials development 	CRO	N	Developer of outreach materials
Outreach Provider	VIVO	N	Not specific
Owner	MARC	M	Not in domain?  Use in an ownership with dates of ownership
Panelist	MARC	Y	
Papermaker	MARC	Y	
Participant recruitment 	CRO	M	Or Recruiter in Research Process
Patent applicant	MARC	M	Simply Applicant?
Patent holder	MARC	Y	
Patron	MARC	Y	
Performer	MARC	Y	Aka performing artist
Permitter	Proposed	Y	
Permitting agency	MARC	N	
Photographer	MARC	Y	
Plaintiff	MARC	L	
Plaintiff-appellant	MARC	L	
Plaintiff-appellee	MARC	L	
Platemaker	MARC	Y	
Policy development 	CRO	N	Developer of Policy
Praeses	MARC	Y	
Presenter	VIVO	Y	
Preservation 	CRO	Y	Preservationist 
Printer	MARC	Y	
Printer of plates	MARC	N	Printer of plates
Printmaker	MARC	Y	
Process contact	MARC	N	Contact of process
Producer	MARC	Y	
Production company	MARC	Y	 
Production designer	MARC	Y	
Production manager	MARC	Y	
Production personnel	MARC	M	Is this understood in the domain?
Production place	MARC	N	Not a role
Program administration 	CRO	N	Administrator of Program
program evaluation 	CRO	N	Evaluator of Program
Programmer	MARC	Y	
Project administration 	CRO	N	Administrator of Project
Project director	MARC	N	Director of project
Project Manager	Proposed	Y	
Proofreader	MARC	Y	
Protocol creation 	CRO	N	Developer of protocol
Provider	MARC	N	Not specific
Publication place	MARC	N	Not a role
Publisher	MARC	Y	
Publishing director	MARC	N	Director of publishing process; possible title
Puppeteer	MARC	Y	
Radio director	MARC	N	Director of radio broadcast/show
Radio producer	MARC	N	Producer of radio broadcast/show
Recording engineer	MARC	Y	
Recordist	MARC	Y	
Redactor	Proposed	Y	One who redacts
Redaktor	MARC	N	Does not appear to be an english word
Regulator	ERO	Y	Renamed and in VIVO ontology
Regulatory administration 	CRO	N	Administrator of regulatory process
Renderer	MARC	Y	
Reporter	MARC	Y	
Repository	MARC	N	Not a role
Research conceptualization 	CRO	N	See Conceptualization
research coordination 	CRO	N	Coordination
research instrumentation 	CRO	N	Developer of Research Instruments
Research team head	MARC	M	"Might be more international than PI, Director, etc."
Research team member	MARC	Y	
research technician 	CRO	N	Maintainer of Research instruments
Researcher	VIVO	M	In what?  
Resources 	CRO	M	How is this different from funding acquisition?
Respondent	MARC	L	
Respondent-appellant	MARC	L	
Respondent-appellee	MARC	L	
Responsible party	MARC	L	
Restager	MARC	Y	
Restorationist	MARC	Y	
Reviewer	VIVO	Y	Rename
Rubricator	MARC	Y	
Scenarist	MARC	Y	
Scientific advisor	MARC	M	"Why not ""advisor""?"
Screenwriter	MARC	Y	
Scribe	MARC	Y	
Sculptor	MARC	Y	
Second party	MARC	L	
Secretary	MARC	M	A position in an organization?
Seller	MARC	M	In domain?
Service Provider	ERO	Y	Renamed and in VIVO ontology
Set designer	MARC	Y	
Setting	MARC	N	Not a role
Signer	MARC	Y	
Singer	MARC	Y	
software 	CRO	N	Unclear
software architecture 	CRO	Y	
software design 	CRO	Y	
software engineering 	CRO	Y	
software project management 	CRO	Y	
software systems 	CRO	Y	
software testing 	CRO	Y	
Sound designer	MARC	Y	
Speaker	MARC	Y	
Sponsor	MARC	M	How is this different from funder?
Stage director	MARC	Y	
Stage manager	MARC	Y	
standard operating procedure development 	CRO	N	Developer of SOP
Standards body	MARC	N	A disposition for an organization
standards development 	CRO	N	Developer of standard
statistical data analysis 	CRO	M	Is this data analysis?
Stereotyper	MARC	Y	
Storyteller	MARC	Y	
Student	ERO	N	
study design 	CRO	Y	Study Designer
supervision 	CRO	N	See Supervisor
supervisory 	CRO	N	Supervisor
Supporting host	MARC	Y	Sidekick to the host
survey and questionnaire 	CRO	Y	Survey Designer
Surveyor	MARC	Y	
system administrator 	CRO	Y	
systems administration 	CRO	N	See system administrator
Teacher	VIVO	Y	Rename
team management 	CRO	N	Manager of Team
Technical director	MARC	Y	
technical writing 	CRO	N	Author of document.  Technicqal wirting may be an expertise.
technique development 	CRO	N	Developer of technique
Television director	MARC	Y	
Television producer	MARC	Y	
Thesis advisor	MARC	N	Advisor of Thesis
Trianer	Proposed	Y	How is this different from Instructor or Teacher?
Transcriber	MARC	Y	
Translator	MARC	Y	
Type designer	MARC	Y	
Typographer	MARC	Y	
University place	MARC	N	Not a role
US Resident Role	ERO	N	
Validation 	CRO	M	Validator of what?
Videographer	MARC	Y	
Visual Artist	Duke	Y	
visualization 	CRO	M	Visualizer?  Developer of visualization?
Voice actor	MARC	Y	Aka vocalist
website development 	CRO	N	Developer of website
website maintenance 	CRO	N	Maintainer of website
Witness	MARC	N	Not in domain
Wood engraver	MARC	Y	
Woodcutter	MARC	Y	
Writer	Proposed	Y	Simply use writer for a wide variety of writing
Writer of accompanying material	MARC	N	Writer of
Writer of added commentary	MARC	N	Writer of
Writer of added lyrics	MARC	N	Writer of
Writer of added text	MARC	N	Writer of
Writer of introduction	MARC	N	Writer of
Writer of preface	MARC	N	Writer of
Writer of supplementary textual content	MARC	N	Writer of
writing original draft 	CRO	M	How is this different from original draft preparation?
writing review and editing 	CRO	M	How is this different from Proofreader?
