?type	?uri	?labels	?definitions	?editor_notes	?examples	?statuses	?human_friendly_names	?name_of_editors	?alternative_names	?citations
"A"	<http://purl.obolibrary.org/obo/IAO_0000118>	"alternative term"	"An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)"			"http://purl.obolibrary.org/obo/IAO_0000125"	"alternative term"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000119>	"definition source"	"formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007"			"http://purl.obolibrary.org/obo/IAO_0000122"	"definition source"	"PERSON:Daniel Schober"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>|Discussion on obo-discuss mailing-list, see http://bit.ly/hgm99w"
"A"	<http://purl.obolibrary.org/obo/IAO_0000231>	"has obsolescence reason"	"Relates an annotation property to an obsolescence reason. The values of obsolescence reasons come from a list of predefined terms, instances of the class obsolescence reason specification."				"has obsolescence reason"	"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000232>	"curator note"	"An administrative note of use for a curator but of no use for a user"			"http://purl.obolibrary.org/obo/IAO_0000122"	"curator note"	"PERSON:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000233>	"term tracker item"	"An IRI or similar locator for a request or discussion of an ontology term."		"the URI for an OBI Terms ticket at sourceforge, such as https://sourceforge.net/p/obi/obi-terms/772/"	"http://purl.obolibrary.org/obo/IAO_0000125"	"term tracker item"	"Person: Jie Zheng, Chris Stoeckert, Alan Ruttenberg"		"Person: Jie Zheng, Chris Stoeckert, Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0000234>	"ontology term requester"	"The name of the person, project, or organization that motivated inclusion of an ontology term by requesting its addition."			"http://purl.obolibrary.org/obo/IAO_0000125"		"Person: Jie Zheng, Chris Stoeckert, Alan Ruttenberg"		"Person: Jie Zheng, Chris Stoeckert, Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0000411>	"is denotator type"	"relates an class defined in an ontology, to the type of it's denotator"	"In OWL 2 add AnnotationPropertyRange('is denotator type' 'denotator type')"			"is denotator type"	"Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000412>	"imported from"	"For external terms/classes, the ontology from which the term was imported"			"http://purl.obolibrary.org/obo/IAO_0000125"	"imported from"	"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000424>	"expand expression to"	"A macro expansion tag applied to an object property (or possibly a data property)  which can be used by a macro-expansion engine to generate more complex expressions from simpler ones"		"ObjectProperty: RO_0002104\nLabel: has plasma membrane part\nAnnotations: IAO_0000424 \"http://purl.obolibrary.org/obo/BFO_0000051 some (http://purl.org/obo/owl/GO#GO_0005886 and http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\"\n"		"expand expression to"	"Chris Mungall"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000425>	"expand assertion to"	"A macro expansion tag applied to an annotation property which can be expanded into a more detailed axiom."		"ObjectProperty: RO???\nLabel: spatially disjoint from\nAnnotations: expand_assertion_to \"DisjointClasses: (http://purl.obolibrary.org/obo/BFO_0000051 some ?X)  (http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\"\n"		"expand assertion to"	"Chris Mungall"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000426>	"first order logic expression"					"first order logic expression"	"PERSON:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000427>	"antisymmetric property"	"use boolean value xsd:true to indicate that the property is an antisymmetric property"		"part_of antisymmetric property xsd:true"		"antisymmetric property"	"Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000589>	"OBO foundry unique label"	"An alternative name for a class or property which is unique across the OBO Foundry."	"The intended usage of that property is as follow: OBO foundry unique labels are automatically generated based on regular expressions provided by each ontology, so that SO could specify unique label = 'sequence ' + [label], etc. , MA could specify 'mouse + [label]' etc. Upon importing terms, ontology developers can choose to use the 'OBO foundry unique label' for an imported term or not. The same applies to tools ."		"http://purl.obolibrary.org/obo/IAO_0000125"	"OBO foundry unique label"	"PERSON:Alan Ruttenberg|PERSON:Melanie Courtot|PERSON:Chris Mungall|PERSON:Bjoern Peters"		"GROUP:OBO Foundry <http://obofoundry.org/>"
"A"	<http://purl.obolibrary.org/obo/IAO_0000596>	"has ID digit count"	"Relates an ontology used to record id policy to the number of digits in the URI. The URI is: the 'has ID prefix\" annotation property value concatenated with an integer in the id range (left padded with \"0\"s to make this many digits)"		"Ontology: <http://purl.obolibrary.org/obo/ro/idrange/>\n  Annotations: \n     'has ID prefix': \"http://purl.obolibrary.org/obo/RO_\"\n     'has ID digit count' : 7,\n     rdfs:label \"RO id policy\"\n     'has ID policy for': \"RO\""			"Person:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000597>	"has ID range allocated to"	"Relates a datatype that encodes a range of integers to the name of the person or organization who can use those ids constructed in that range to define new terms"		"Datatype: idrange:1\nAnnotations: 'has ID range allocated to': \"Chris Mungall\"\nEquivalentTo: xsd:integer[> 2151 , <= 2300]\n"			"Person:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000598>	"has ID policy for"	"Relating an ontology used to record id policy to the ontology namespace whose policy it manages"		"Ontology: <http://purl.obolibrary.org/obo/ro/idrange/>\n  Annotations: \n     'has ID prefix': \"http://purl.obolibrary.org/obo/RO_\"\n     'has ID digit count' : 7,\n     rdfs:label \"RO id policy\"\n     'has ID policy for': \"RO\""			"Person:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000599>	"has ID prefix"	"Relates an ontology used to record id policy to a prefix concatenated with an integer in the id range (left padded with \"0\"s to make this many digits) to construct an ID for a term being created."		"Ontology: <http://purl.obolibrary.org/obo/ro/idrange/>\n  Annotations: \n     'has ID prefix': \"http://purl.obolibrary.org/obo/RO_\"\n     'has ID digit count' : 7,\n     rdfs:label \"RO id policy\"\n     'has ID policy for': \"RO\""			"Person:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000600>	"elucidation"					"elucidation"	"person:Alan Ruttenberg"		"Person:Barry Smith"
"A"	<http://purl.obolibrary.org/obo/IAO_0000601>	"has associated axiom(nl)"					"has associated axiom(nl)"	"Person:Alan Ruttenberg"		"Person:Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0000602>	"has associated axiom(fol)"					"has associated axiom(fol)"	"Person:Alan Ruttenberg"		"Person:Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0000603>	"is allocated id range"	"Relates an ontology IRI to an (inclusive) range of IRIs in an OBO name space. The range is give as, e.g. \"IAO_0020000-IAO_0020999\"|Add as annotation triples in the granting ontology"				"is allocated id range"	"PERSON:Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0000604>	"retired from use as of"	"relates a class of CRID to the date after which further instances should not be made, according to the central authority"	"In OWL 2 add AnnotationPropertyRange xsd:dateTimeStamp"			"retired from use as of"	"Alan Ruttenberg"		
"A"	<http://purl.obolibrary.org/obo/IAO_0010000>	"has axiom label"					"has axiom id"	"Person:Alan Ruttenberg"		"Person:Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/IAO_0100001>	"term replaced by"	"Add as annotation triples in the granting ontology|Use on obsolete terms, relating the term to another term that can be used as a substitute"			"http://purl.obolibrary.org/obo/IAO_0000125"	"term replaced by"	"Person:Alan Ruttenberg"		"Person:Alan Ruttenberg"
"A"	<http://purl.obolibrary.org/obo/RO_0001900>	"temporal interpretation"								
"A"	<http://purl.org/dc/elements/1.1/contributor>									
"A"	<http://purl.org/dc/elements/1.1/coverage>									
"A"	<http://purl.org/dc/elements/1.1/creator>									
"A"	<http://purl.org/dc/elements/1.1/date>									
"A"	<http://purl.org/dc/elements/1.1/description>									
"A"	<http://purl.org/dc/elements/1.1/format>									
"A"	<http://purl.org/dc/elements/1.1/identifier>									
"A"	<http://purl.org/dc/elements/1.1/language>									
"A"	<http://purl.org/dc/elements/1.1/member>									
"A"	<http://purl.org/dc/elements/1.1/publisher>									
"A"	<http://purl.org/dc/elements/1.1/relation>									
"A"	<http://purl.org/dc/elements/1.1/rights>									
"A"	<http://purl.org/dc/elements/1.1/source>									
"A"	<http://purl.org/dc/elements/1.1/subject>									
"A"	<http://purl.org/dc/elements/1.1/title>									
"A"	<http://purl.org/dc/elements/1.1/type>									
"A"	<http://www.geneontology.org/formats/oboInOwl#shorthand>	"shorthand"								
"A"	<http://www.w3.org/2000/01/rdf-schema#comment>									
"A"	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>									
"A"	<http://www.w3.org/2000/01/rdf-schema#label>									
"A"	<http://www.w3.org/2000/01/rdf-schema#seeAlso>									
"A"	<http://xmlns.com/foaf/0.1/homepage>									
"A"	<http://xmlns.com/foaf/0.1/page>									
"C"	<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"		"Entity doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. For example Werner Ceusters 'portions of reality' include 4 sorts, entities (as BFO construes them), universals, configurations, and relations. It is an open question as to whether entities as construed in BFO will at some point also include these other portions of reality. See, for example, 'How to track absolutely everything' at http://www.referent-tracking.com/_RTU/papers/CeustersICbookRevised.pdf|BFO 2 Reference: In all areas of empirical inquiry we encounter general terms of two sorts. First are general terms which refer to universals or types:animaltuberculosissurgical procedurediseaseSecond, are general terms used to refer to groups of entities which instantiate a given universal but do not correspond to the extension of any subuniversal of that universal because there is nothing intrinsic to the entities in question by virtue of which they – and only they – are counted as belonging to the given group. Examples are: animal purchased by the Emperortuberculosis diagnosed on a Wednesdaysurgical procedure performed on a patient from Stockholmperson identified as candidate for clinical trial #2056-555person who is signatory of Form 656-PPVpainting by Leonardo da VinciSuch terms, which represent what are called ‘specializations’ in [81"	"Verdi’s Requiem|the Second World War|Julius Caesar|your body mass index"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."	"BFO 2 Reference: Continuant entities are entities which can be sliced to yield parts only along the spatial dimension, yielding for example the parts of your table which we call its legs, its top, its nails. ‘My desk stretches from the window to the door. It has spatial parts, and can be sliced (in space) in two. With respect to time, however, a thing is a continuant.’ [60, p. 240|Continuant doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. For example, in an expansion involving bringing in some of Ceuster's other portions of reality, questions are raised as to whether universals are continuants"						
"C"	<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"	"An entity that has temporal parts and that happens, unfolds or develops through time."	"Simons uses different terminology for relations of occurrents to regions: Denote the spatio-temporal location of a given occurrent e by 'spn[e]' and call this region its span. We may say an occurrent is at its span, in any larger region, and covers any smaller region. Now suppose we have fixed a frame of reference so that we can speak not merely of spatio-temporal but also of spatial regions (places) and temporal regions (times). The spread of an occurrent, (relative to a frame of reference) is the space it exactly occupies, and its spell is likewise the time it exactly occupies. We write 'spr[e]' and `spl[e]' respectively for the spread and spell of e, omitting mention of the frame.|Occurrent doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. An example would be the sum of a process and the process boundary of another process.|BFO 2 Reference: s-dependence obtains between every process and its participants in the sense that, as a matter of necessity, this process could not have existed unless these or those participants existed also. A process may have a succession of participants at different phases of its unfolding. Thus there may be different players on the field at different times during the course of a football game; but the process which is the entire game s-depends_on all of these players nonetheless. Some temporal parts of this process will s-depend_on on only some of the players.|BFO 2 Reference: every occurrent that is not a temporal or spatiotemporal region is s-dependent on some independent continuant that is not a spatial region"						
"C"	<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])|A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything."		"an orchestra.|a molecule|a chair|an atom|an organism|the interior of your mouth|a heart|a spatial region|a leg|the bottom right portion of a human torso"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000005>	"obsolete dependent continuant"	"A continuant  that is either dependent on one or other independent continuant  bearers or inheres in or is borne by other entities."							
"C"	<http://purl.obolibrary.org/obo/BFO_0000006>	"spatial region"		"Spatial region doesn't have a closure axiom because the subclasses don't exhaust all possibilites. An example would be the union of a spatial point and a spatial line that doesn't overlap the point, or two spatial lines that intersect at a single point. In both cases the resultant spatial region is neither 0-dimensional, 1-dimensional, 2-dimensional, or 3-dimensional.|BFO 2 Reference: Spatial regions do not participate in processes."						
"C"	<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"		"Temporal region doesn't have a closure axiom because the subclasses don't exhaust all possibilites. An example would be the mereological sum of a temporal instant and a temporal interval that doesn't overlap the instant. In this case the resultant temporal region is neither 0-dimensional nor 1-dimensional"						
"C"	<http://purl.obolibrary.org/obo/BFO_0000009>	"two-dimensional spatial region"			"an infinitely thin plane in space.|the surface of a sphere-shaped part of space"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000011>	"spatiotemporal region"			"the spatiotemporal region occupied by a human life|the spatiotemporal region occupied by a process of cellular meiosis.|the spatiotemporal region occupied by the development of a cancer tumor"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000015>	"process"	"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])|An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t."	"BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)"	"a process of cell-division, \\ a beating of the heart|your process of aging.|the course of a disease|the life of an organism|a process of meiosis|a process of sleeping|the flight of a bird"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"		"BFO 2 Reference: Dispositions exist along a strength continuum. Weaker forms of disposition are realized in only a fraction of triggering cases. These forms occur in a significant number of cases of a similar type."	"an atom of element X has the disposition to decay to an atom of element Y|certain people have a predisposition to colon cancer|the cell wall is disposed to filter chemicals in endocytosis and exocytosis|children are innately disposed to categorize objects in certain ways."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."		"the disposition of this piece of metal to conduct electricity.|the role of this boundary to delineate where Utah and Colorado meet|the disposition of your blood to coagulate|the role of being a doctor|the function of your reproductive organs"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000018>	"zero-dimensional spatial region"								
"C"	<http://purl.obolibrary.org/obo/BFO_0000019>	"quality"			"the shape of your nostril|the mass of this piece of gold.|the length of the circumference of your waist|the shape of your nose|the ambient temperature of this portion of air|the color of a tomato"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"	"b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])|A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same."	"Specifically dependent continuant doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. We're not sure what else will develop here, but for example there are questions such as what are promises, obligation, etc."	"the role of being a doctor|of one-sided specifically dependent continuants: the mass of this tomato|of relational dependent continuants (multiple bearers): John’s love for Mary, the ownership relation between John and this statue, the relation of authority between John and his subordinates.|the smell of this portion of mozzarella|the shape of this hole.|the pink color of a medium rare piece of grilled filet mignon at its center|the function of this heart: to pump blood|the mutual dependence of the role predator and the role prey as played by two organisms in a given interaction|the disposition of this fish to decay|Reciprocal specifically dependent continuants: the function of this key to open this lock and the mutually dependent disposition of this lock: to be opened by this key|the mutual dependence of proton donors and acceptors in chemical reactions [79"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000023>	"role"	"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."	"BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives."	"the role of a building in serving as a military target|the role of a boundary to demarcate two neighboring administrative territories|the role of subject in a clinical trial|the role of a stone in marking a property boundary|the priest role|the student role|John’s role of husband to Mary is dependent on Mary’s role of wife to John, and both are dependent on the object aggregate comprising John and Mary as member parts joined together through the relational quality of being married."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000024>	"fiat object part"		"BFO 2 Reference: Most examples of fiat object parts are associated with theoretically drawn divisions"	"the division of the brain into regions|the division of the planet into hemispheres|the Western hemisphere of the Earth|the FMA:regional parts of an intact human body.|the dorsal and ventral surfaces of the body|or with divisions drawn by cognitive subjects for practical reasons, such as the division of a cake (before slicing) into (what will become) slices (and thus member parts of an object aggregate). However, this does not mean that fiat object parts are dependent for their existence on divisions or delineations effected by cognitive subjects. If, for example, it is correct to conceive geological layers of the Earth as fiat object parts of the Earth, then even though these layers were first delineated in recent times, still existed long before such delineation and what holds of these layers (for example that the oldest layers are also the lowest layers) did not begin to hold because of our acts of delineation.Treatment of material entity in BFOExamples viewed by some as problematic cases for the trichotomy of fiat object part, object, and object aggregate include: a mussel on (and attached to) a rock, a slime mold, a pizza, a cloud, a galaxy, a railway train with engine and multiple carriages, a clonal stand of quaking aspen, a bacterial community (biofilm), a broken femur. Note that, as Aristotle already clearly recognized, such problematic cases – which lie at or near the penumbra of instances defined by the categories in question – need not invalidate these categories. The existence of grey objects does not prove that there are not objects which are black and objects which are white; the existence of mules does not prove that there are not objects which are donkeys and objects which are horses. It does, however, show that the examples in question need to be addressed carefully in order to show how they can be fitted into the proposed scheme, for example by recognizing additional subdivisions [29|the upper and lower lobes of the left lung"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000026>	"one-dimensional spatial region"			"an edge of a cube-shaped portion of space."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000027>	"object aggregate"		"An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects |BFO 2 Reference: object aggregates may gain and lose parts while remaining numerically identical (one and the same individual) over time. This holds both for aggregates whose membership is determined naturally (the aggregate of cells in your body) and aggregates determined by fiat (a baseball team, a congressional committee)."	"the aggregate of bearings in a constant velocity axle joint|defined via attributive delimitations such as: the patients in this hospital|defined by fiat: the aggregate of members of an organization|a collection of cells in a blood biobank.|your collection of Meissen ceramic plates.|an organization is an aggregate whose member parts have roles of specific types (for example in a jazz band, a chess club, a football team)|defined through physical containment: the aggregate of molecules of carbon dioxide in a sealed container|the restaurants in Palo Alto|a symphony orchestra|the nitrogen atoms in the atmosphere|defined through physical attachment: the aggregate of atoms in a lump of granite|the aggregate of blood cells in your body|a swarm of bees is an aggregate of members who are linked together through natural bonds"					"ISBN:978-3-938793-98-5pp124-158#Thomas Bittner and Barry Smith, 'A Theory of Granular Partitions', in K. Munn and B. Smith (eds.), Applied Ontology: An Introduction, Frankfurt/Lancaster: ontos, 2008, 125-158."
"C"	<http://purl.obolibrary.org/obo/BFO_0000028>	"three-dimensional spatial region"			"a sphere-shaped region of space,|a cube-shaped region of space"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000029>	"site"			"the Grand Canyon|the interior of a kangaroo pouch|the interior of the trunk of your car|an air traffic control region defined in the airspace above an airport|a rabbit hole|the lumen of your gut|a hole in the interior of a portion of cheese|the hold of a ship|the interior of your office|the Piazza San Marco|the interior of your bedroom|Manhattan Canyon)|your left nostril (a fiat part – the opening – of your left nasal cavity)|the interior of your refrigerator|the cockpit of an aircraft"					
